mz,10EV,15EV,20EV,25EV
111.0046168,0,0.001181071,0,0
112.0121595,0,0.002293266,0.006928259,0.00116992
113.0231775,0,0.015963105,0.00942688,0.00245844
125.020209,0,0.004374113,0.004347985,0
127.0402177,0,0.00997298,0.013304053,0.005901104
132.0106418,0,0,0.002633754,0.002611059
139.0338796,0,0.003962831,0.001536585,0
141.0168949,0,0.001687434,0,0
143.0315423,0,0.001314397,0,0
145.0475183,0,0,0.019465845,0.002399188
155.0285601,0,0.012903664,0.006421819,0
156.0374598,0,0.003898932,0.002393249,0
157.0447163,0,0.009128085,0.006515299,0
163.0599118,0,0,0.001109952,0
167.0343437,0,0.003817972,0.002145619,0
169.0439848,0,0.038441163,0.029239032,0.003272886
171.0271696,0,0.011511426,0.005844801,0.001236849
173.0425577,0,0.001513705,0.002969156,0.001217424
184.0327935,0,0.003251866,0.006454274,0
185.0424987,0.009165404,0.099286241,0.066446636,0.012043351
186.0495593,0.001095486,0.012859655,0.010343401,0.001410938
187.0621492,0.001956145,0.001272035,0,0
191.0733362,0,0,0.001384272,0
192.9634579,0,0,0,0.001030231
201.0378203,0.017896298,0.155347459,0.096120516,0.017308318
202.0484769,0,0.00345066,0.001457395,0
203.0476946,0.006801455,0.038643274,0.033058403,0.007049804
218.0420359,0.001512524,0.008533158,0.007282957,0.001170486
225.0446364,0,0,0.001086765,0
229.029384,0,0.003314982,0,0
231.0387029,0.018927637,0.144835089,0.140517707,0.037647354
244.0591156,0.001568419,0.021771964,0.014397657,0.001668303
245.0650774,0.00292656,0.075928689,0.04813145,0.008877864
249.0538248,0,0.001727828,0.001130739,0
257.0684031,0,0.004931159,0.018187569,0.005332927
259.0531909,0.001647728,0.004607103,0,0
261.0567017,0,0.001919176,0.00141202,0
273.0583287,0,0.003362314,0,0
275.0631376,0,0.008159179,0.004391695,0
291.0694027,0,0.001754633,0,0
303.0633671,0,0.001028008,0,0
305.0861891,0,0.002078086,0.001159339,0
317.0832306,0,0.017103767,0.012229815,0
333.0984542,0,0.010190367,0.006773468,0
334.0852846,0.001571418,0.002174884,0.002072994,0
347.0797877,0,0.015942999,0.011019882,0
349.0665595,0.003934735,0.001299562,0,0
