ID,Labels,S-single,S-multi
141,0,0.814903555,0.744424882
142,0,0.693298473,0.549436421
143,0,0.758349555,0.592455475
145,0,0.701381252,0.680322511
146,0,0.75184208,0.689857677
147,0,0.728805782,0.627070775
148,0,0.973281239,0.967565455
149,0,0.69446277,0.608574766
150,0,0.692755227,0.586035848
151,0,0.963883917,0.971035573
152,0,0.774169576,0.791606676
153,0,0.860780979,0.861583786
154,0,0.769306218,0.804327537
155,0,0.945254275,0.95351669
156,0,0.986316903,0.983580783
157,0,0.941873684,0.946247535
158,0,0.898440048,0.876249437
159,0,0.971953605,0.966395012
160,0,0.98091954,0.952051794
161,0,0.940037774,0.935019008
162,0,0.91984722,0.8977166
163,0,0.738504027,0.822290686
164,0,0.95813721,0.932337476
165,0,0.935043885,0.920547877
166,0,0.924720612,0.897543336
167,0,0.715314779,0.81561357
168,0,0.92366966,0.867194057
169,0,0.910371383,0.832075935
170,0,0.737721832,0.795062322
171,0,0.969269307,0.96175008
172,0,0.752257953,0.822666949
173,0,0.732519443,0.791868559
174,0,0.890151422,0.911079035
175,0,0.629654537,0.714235368
176,0,0.68971565,0.770754184
177,0,0.893524305,0.881326414
178,0,0.965643826,0.962924418
179,0,0.957680871,0.971763132
180,0,0.930036559,0.887718604
181,0,0.843975421,0.754074502
182,0,0.881662651,0.86220522
183,0,0.973681412,0.9829307
184,0,0.957685693,0.941749745
185,0,0.945006444,0.918838365
186,0,0.890272008,0.838294667
187,0,0.921694418,0.887738781
188,0,0.900533597,0.874284677
189,0,0.536440771,0.528940407
191,0,0.969149673,0.943261113
192,0,0.897442037,0.876463638
193,0,0.86044522,0.865840788
194,0,0.977495123,0.969882324
195,0,0.850436655,0.828293519
196,0,0.900758388,0.930316286
197,0,0.931344582,0.920552962
198,0,0.873272024,0.805406875
199,0,0.946419704,0.958268931
200,0,0.967499393,0.971401539
202,0,0.858458128,0.791801609
203,0,0.858662321,0.773847309
204,0,0.985440956,0.986283243
205,0,0.992439318,0.991462959
206,0,0.92807629,0.950311406
207,0,0.948868912,0.968269279
208,0,0.913737847,0.889373417
209,0,0.93227948,0.883277836
210,1,0.976251157,0.973200649
211,1,0.961657875,0.901626832
212,1,0.970133425,0.960849191
213,1,0.963127346,0.94529042
214,1,0.974512648,0.960371487
215,1,0.951421311,0.925869667
216,1,0.980015122,0.977131247
217,1,0.991607331,0.980904771
218,1,0.991136643,0.955290735
219,1,0.979650987,0.977808042
220,1,0.993803017,0.994153704
221,1,0.993852988,0.986046542
222,1,0.97971753,0.986771052
223,1,0.987426444,0.986380878
224,1,0.988886207,0.978392204
225,1,0.985527208,0.977118839
226,1,0.982279397,0.948108536
227,1,0.96620822,0.97848552
228,1,0.959032396,0.966328069
229,1,0.98220449,0.953237011
230,1,0.971619596,0.95316165
231,1,0.947871615,0.965091219
232,1,0.940361012,0.922019116
233,1,0.933160325,0.934683623
234,1,0.979817753,0.955353959
235,1,0.956863148,0.916668524
236,1,0.959658345,0.955596599
237,1,0.978890011,0.963551391
238,1,0.966340636,0.948161864
239,1,0.971481551,0.918678509
240,1,0.960816499,0.962670693
241,1,0.960615964,0.921507414
242,1,0.946533569,0.912276815
243,1,0.967644891,0.936247834
244,1,0.994179647,0.980976041
245,1,0.927459506,0.955208053
246,1,0.923049298,0.952705047
247,1,0.960907016,0.95638204
248,1,0.939194819,0.956944914
249,1,0.950540287,0.972624243
250,1,0.983533545,0.984759763
251,1,0.958307304,0.955651178
252,1,0.937446866,0.955334856
253,1,0.93359778,0.951217364
254,1,0.994416667,0.99306572
255,1,0.978425849,0.981232159
256,1,0.978308346,0.981927524
257,1,0.969773764,0.978303382
258,1,0.987794802,0.986116064
259,1,0.983163356,0.989996596
260,1,0.960031773,0.952213885
261,1,0.964205267,0.955536383
262,1,0.968419875,0.980192811
263,1,0.977271243,0.985458396
264,1,0.992026678,0.988195826
265,1,0.996147637,0.996733323
266,1,0.963018505,0.970600789
267,1,0.987706219,0.991905061
268,1,0.976473053,0.976608003
269,1,0.965763378,0.975257695
270,1,0.9887334,0.987534651
271,1,0.993743221,0.992365371
272,1,0.988259143,0.993808855
273,1,0.988664387,0.992835592
274,1,0.99271161,0.990967312
275,1,0.98974449,0.989221445
276,1,0.974492302,0.982641336
277,1,0.995459857,0.993932583
278,1,0.992831006,0.994663555
279,1,0.985353173,0.98159996
280,1,0.979361796,0.988468631
281,1,0.991780197,0.991856351
282,1,0.957948464,0.930744982
283,1,0.941927257,0.90705048
284,1,0.980800711,0.976847346
285,1,0.977070697,0.973647409
286,1,0.994913981,0.993209325
287,1,0.99170539,0.992465618
288,1,0.979774988,0.988346138
289,1,0.988911537,0.989746455
290,1,0.974729096,0.974996262
291,1,0.969668585,0.966389017
292,1,0.98633058,0.991698635
293,1,0.990045471,0.990265178
294,1,0.989932033,0.992870514
295,1,0.981697763,0.973964087
296,1,0.913408764,0.92411598
297,1,0.98956618,0.990014689
298,1,0.949386983,0.959369425
299,1,0.9731299,0.9582461
300,1,0.902683446,0.918372236
301,1,0.944959896,0.963808713
302,1,0.924638622,0.931124401
303,1,0.962655232,0.970915839
304,1,0.993850916,0.993604083
305,1,0.992101822,0.992328119
306,1,0.959389927,0.956734708
307,1,0.989799569,0.994759484
308,1,0.994040142,0.993101302
309,1,0.984966095,0.99142327
310,1,0.977733976,0.98207376
311,1,0.974629285,0.98057239
312,1,0.972355505,0.967426515
313,1,0.982542439,0.988402816
314,1,0.939826645,0.955368581
315,1,0.997332868,0.994674816
316,1,0.990043896,0.992913063
317,1,0.979290475,0.989026866
318,1,0.994956325,0.994728368
319,1,0.994721204,0.992174469
320,1,0.985871644,0.98835794
321,1,0.991014443,0.989269474
