mz,10EV,15EV,20EV,25EV
112.00902,0,0,0.001971865,0.00147168
113.0179441,0,0,0.003892977,0
125.0146456,0,0.003233502,0.002585387,0.001097991
127.0347435,0,0.001358308,0.004938598,0.003196234
132.0151574,0,0.001738369,0.006652452,0.003399827
140.0463377,0,0.001252035,0,0
145.0476393,0,0,0.004060277,0
155.0263268,0,0.004501429,0.004296382,0
156.0351744,0,0,0.001019462,0
167.0230537,0,0.001406198,0,0
169.0468261,0,0.028888506,0.017592896,0.001887687
171.0221758,0,0.001125287,0.002638034,0
173.0338439,0,0.001392065,0,0
185.0401607,0.001591255,0.027583583,0.026089421,0.003614059
186.0444791,0.001155902,0.007254195,0.008651623,0.001339609
201.0283805,0.014148077,0.060912395,0.044899602,0.009880454
202.0350347,0,0.001820265,0,0
203.0440051,0,0.0084437,0.023533091,0.010304715
218.0367734,0.00197818,0.009306302,0.008412108,0.003316808
225.0408683,0,0,0.001410441,0.008624738
231.0452754,0.002392076,0.059341848,0.066251256,0.015691262
244.0458608,0.001961938,0.00663697,0.007884496,0
245.0520402,0,0.022200932,0.017290641,0.002715434
257.0661182,0,0.003951473,0.001035129,0
259.0619554,0,0.003261448,0.002012681,0
273.0478682,0,0,0.001651891,0
305.0822449,0,0.0069347,0,0
317.0791703,0,0.004992657,0.005689043,0
333.0711083,0.003951585,0.016315453,0.008412638,0.001348875
347.0812843,0,0.00746621,0.002818415,0
