Mass,8EV,10EV,15EV,20EV,25EV
112.0071833,0,0,0.000350415,0,0.001803902
115.0527733,0,0,0.001380955,0.00384101,0
118.0406378,0,0.000624824,0.001931583,0.002708404,0
119.0493761,0,0.002162547,0.003745495,0.00351026,0.000219779
121.0284867,0,0.000623905,0.003486747,0.004067026,0
123.0085835,0,0,0.001132121,0.001613043,0
124.0162406,0,0.002033099,0.005816678,0.008815283,0.000474052
127.0386919,0,0,0.001041758,0.004896259,0.001065748
128.0640562,0,0,0,0.001449388,0
132.0181412,0,0,0.000320017,0.002382315,0.001864639
139.05504,0,0,0.001362155,0.001837413,0
141.019086,0,0,0.00115865,0.001800689,0
141.0711959,0,0.000339844,0.00185233,0.00051571,0
145.0510101,0,0,0.003902722,0.011364419,0.001801176
147.0474125,0,0,0,0.000851179,0
153.0186897,0,0.005592272,0.019365411,0.018019844,0.00289601
157.064092,0,0,0.001711626,0.001764063,0
168.0572869,0,0,0.001461216,0.001217707,0
170.0208897,0,0.00051152,0.003664107,0.001610821,0
171.0292205,0,0.000386105,0.002185474,0.001507927,0.000394833
185.0588267,0,0,0.001126392,0.001882974,0
187.0403987,0,0.000408796,0.001866015,0.002590703,0
190.9596015,0,0,0,0.000871377,0
197.0588875,0,0.003631314,0.004659228,0.00370424,0
201.0538545,0,0.002518081,0,0.000424901,0
213.0534007,0,0.00313838,0.005826502,0.004038741,0.000424398
215.0702854,0.000546374,0.001584998,0.001138399,0,0
225.0469091,0,0.000700878,0.001622106,0.001982132,0.001712584
227.0236069,0,0.000294066,0,0,0.001415641
229.054121,0,0.001050338,0,0,0
238.9448744,0,0,0,0.001250949,0
241.0495759,0.00486447,0.008477141,0.012747766,0.009773237,0.001948398
242.0583205,0.003653257,0.029640899,0.057134385,0.063079612,0.005667826
243.0683823,0,0,0.00057224,0.001802733,0
253.0495375,0,0.001778179,0.00108192,0.000508691,0
269.0431952,0,0.002716586,0.007681697,0.006711988,0
270.0537039,0.035382741,0.123717696,0.207855197,0.225056806,0.029279627
271.062513,0.591964279,0.68020898,0.518382501,0.415479419,0.070449663
283.0603303,0,0,0.006026025,0.003017665,0
285.0389871,0,0,0.002629188,0.002595553,0
286.0440849,0,0,0.002310827,0.001566041,0
297.0828684,0,0,0.002460527,0.002201951,0
298.0471817,0,0,0.00096396,0,0
299.0548433,0,0.001310164,0.014779774,0.013531345,0.003332269
313.0718386,0,0.000500288,0.002654979,0.004881974,0.000554057
397.149876,0.000941106,0.001550413,0.000305629,0,0.000696553
402.0961157,0,0,0,0.001026715,0
415.1734121,0.002999127,0.001618924,0.002543911,0,0.001447752
