Mass,8EV,10EV,15EV,20EV,25EV
132.0392886,0,0,0,0.001532837,0
189.0172774,0,0,0.000667245,0.000395294,0
191.0323983,0,0,0.000480183,0.000501743,0
195.0286701,0,0.000260428,0.001700073,0.001819481,0
207.0283667,0,0.000247103,0.002015345,0.002084819,0
211.0232673,0,0,0.000546377,0.000938053,0
219.0272183,0,0.00019481,0.00148297,0.000872922,0
221.0452132,0,0,0.000401443,0,0
223.0244659,0,0,0.000894396,0.00142255,0
264.0620206,0,0,0.00025051,0.000868303,0
268.0731402,0,0,0.000734392,0,0
270.5651438,0,0,0.001057441,0.002452541,0
279.0648378,0,0,0.001494003,0.000223172,0
279.5718528,0,0,0.001817157,0.002835513,0
283.05952,0,0.001312617,0.003543381,0.003912465,0
284.0650807,0,0.000376489,0.002045543,0.00141025,0
288.5766925,0,0,0.005862931,0.006660469,0.000724919
294.0517063,0,0.002611413,0.004788012,0.003720089,0
295.0595237,0.003495945,0.013347698,0.015868163,0.009661899,0.000226309
296.0668454,0,0.000801586,0.002482894,0.002708817,0
297.0748986,0,0.001992965,0.00478317,0.004481229,0
299.0548106,0,0.000248631,0.002725453,0.001379594,0
307.0597911,0.000759273,0.007505798,0.016859472,0.009668275,0
308.0669663,0,0.001450119,0.003938146,0.003336616,0
309.074714,0,0.002828226,0.005343332,0.004323787,0
310.0451947,0,0,0.000239945,0.000620922,0
311.0543939,0,0.004158846,0.022815575,0.016737772,0.001474369
312.0620306,0,0.001477597,0.004561681,0.003245924,0
313.0691988,0.000813268,0.00305304,0.004671722,0.003250865,0
319.0596115,0,0.000303514,0.001642224,0.00230414,0
320.0679622,0,0.000248717,0.002167263,0.00138096,0
321.07416,0,0.002893992,0.005178928,0.003675492,0
323.0542893,0.000291309,0.001932177,0.004646464,0.004622591,0
324.0626155,0,0.001720289,0.00347127,0.003956975,0
325.0700869,0.009086707,0.02862327,0.042951521,0.026510793,0.002633819
326.0771919,0,0.000842219,0.003875628,0.001867059,0
327.0499915,0,0.001438672,0.010142119,0.009530699,0.000369379
335.0559459,0,0.000705837,0.005258877,0.004983046,0
336.0628973,0,0.001757129,0.006563264,0.005363812,0
337.070387,0.009603819,0.031784284,0.054481708,0.027851667,0.002968501
339.0503592,0,0,0.000800804,0.001436791,0
339.082968,0,0.000175652,0.001551447,0.000591747,0
340.0553783,0,0,0.002257148,0.00082778,0
341.0644948,0.000865698,0.005886444,0.040270166,0.034176105,0.003907325
348.0612183,0,0.000409889,0.001751806,0.00094542,0
349.0702567,0.005272698,0.01316042,0.015643219,0.009899548,0
350.0772518,0,0.001391388,0.002557989,0.000409193,0
351.0839872,0,0.004871515,0.0059619,0.003707481,0
353.0648592,0,0.001463604,0.007147354,0.007621467,0.000293989
354.0723631,0,0.001564214,0.007256346,0.004274706,0.000298168
355.0813764,0.011468116,0.031573383,0.040525666,0.019234221,0.00167187
361.0697838,0.00059027,0.004265857,0.004662133,0.00298791,0
363.0838326,0,0.000683046,0.00223566,0.000394286,0
365.0660161,0.000261522,0.003512245,0.023100949,0.011852091,0.000815087
367.0814763,0,0.001559803,0.005849411,0.002409178,0
375.0865221,0,0.001777527,0.001522301,0.000948672,0
377.0655688,0,0.000478065,0.005058493,0.003714856,0.000160106
378.0733757,0,0.002650334,0.006665635,0.00298508,0
379.0804116,0.015235062,0.034803802,0.033626518,0.016426037,0.001392074
383.0754259,0,0,0.002343814,0.000412884,0
385.0889731,0,0.001103945,0.000622046,0,0
389.0641415,0,0.000303923,0.001348979,0.000776841,0
390.0725439,0,0,0.000470275,0.000689541,0
391.0810665,0.004878661,0.012014484,0.01484598,0.008022359,0
393.0952936,0,0.00080654,0.000729165,0,0
395.0762339,0,0.001292488,0.009604539,0.006482362,0
397.0891677,0,0.000205852,0.000900599,0,0
402.072581,0,0.000171132,0.000387386,0,0
403.0806648,0.001789688,0.008829128,0.010734368,0.004174398,0
407.0751494,0,0.001935054,0.0094373,0.005943047,0
408.0835109,0,0.000612042,0.001022932,0.000383319,0
409.0914189,0.012676041,0.026266255,0.016103181,0.010758346,0
415.0963436,0,0.000738305,0.001824432,0.000190596,0
420.0858533,0,0.000270256,0.00116196,0,0
421.0906243,0.006411405,0.017840766,0.015651865,0.009147072,0.000392764
425.0856492,0,0.002725889,0.011303954,0.006708869,0
426.0933158,0,0.000255598,0.001038872,0.00035344,0
427.101727,0.016439334,0.029881638,0.015676638,0.008934917,0.000400848
432.1055017,0,0.000188228,0.001849892,0.000411911,0
433.0941351,0,0.001997202,0.00105496,0,0
438.093239,0,0.00127573,0.004340752,0.004085405,0
439.1017611,0.014888529,0.029291547,0.023157468,0.012169721,0.001022885
443.0975482,0.001691622,0.005876956,0.022646363,0.013781784,0.000455795
445.1115904,0.030952846,0.028150108,0.015023383,0.010257849,0
451.1022768,0,0,0.001666979,0.001070386,0
455.0977929,0,0.000238995,0.001025771,0.000530683,0
456.1045255,0.000309114,0.00759731,0.017239966,0.01047095,0.000713474
457.1123589,0.113237298,0.1347019,0.076347331,0.047997096,0.007331531
461.1072213,0.006460356,0.019436191,0.046897015,0.034032408,0.004611011
463.0993896,0.001337064,0.004218012,0.002265736,0,0
469.1106834,0.000218136,0.003310752,0.008043276,0.003771016,0
473.10655,0,0,0.001056765,0,0
474.1146502,0.001351131,0.008724654,0.013155293,0.007216746,0.000172198
475.1235254,0.06827839,0.069150181,0.042770667,0.025178225,0.002673792
480.1043751,0,0.000321464,0.002238703,0.000611567,0
481.1115565,0.014150332,0.022963794,0.011487853,0.006740146,0
485.1054606,0,0,0.001162031,0.003301629,0
487.1238075,0.000264351,0.003205075,0.006070443,0.001110609,0
493.1120492,0,0.002466541,0.000358885,0.000321291,0
499.1229522,0.02081291,0.023904898,0.010203905,0.007665035,0.001196322
503.1183182,0,0,0.002047556,0.003232639,0
505.1139097,0.000304349,0.004245829,0.000807456,0.000586601,0
510.1146093,0,0,0.001752101,0,0
511.1230077,0.020341013,0.02054938,0.008334139,0.005346166,0
521.1264701,0,0.002744808,0.004218221,0.001363505,0
523.1225431,0.010520111,0.017667363,0.007599341,0.004747005,0
529.1354228,0.019757599,0.015141641,0.005315723,0.003917255,0.000249614
540.125423,0,0.000472503,0.000925431,0,0
541.133178,0.021842342,0.028821879,0.010533507,0.007345087,0
558.1371983,0,0.00112239,0.002660726,0.00127216,0
559.1446497,0.06500418,0.057482653,0.020276109,0.012952117,0.001141131
564.1456555,0,0.000282016,0.000631849,0,0
576.146656,0,0.004430691,0.007480259,0.002975701,0
577.1558991,0.172461558,0.114706347,0.055628258,0.034197964,0.010408825
593.1517678,0.000889229,0.003874272,0.006766412,0.004990057,0.000703363
